sample,pcr result
RB-NU5H-MAY19-001,NEG
RB-NU5H-MAY19-002,NEG
RB-NU5H-MAY19-003,NEG
RB-NU5H-MAY19-004,NEG
RB-NU5H-MAY19-005,NEG
RB-NU5H-MAY19-006,NEG
RB-NU5H-MAY19-035,pos
RB-NU5H-MAY19-051,pos
RB-NU5H-MAY19-067,pos
RB-NU5H-MAY19-071,pos
RB-NU5H-MAY19-079,pos
RB-NU5H-MAY19-082,pos
RB-NU5H-MAY19-103,pos
RB-NU5H-MAY19-106,pos
RB-NU5H-MAY19-117,pos
RB-NU5H-MAY19-135,pos
RB-NU5H-MAY19-146,pos
RB-NU5H-MAY19-158,pos
RB-NU5H-MAY19-167,pos
RB-NU5H-MAY19-172,pos
RB-NU5H-MAY19-177,pos
RB-SU11G-May19-001,NEG
RB-SU11G-May19-002,NEG
RB-SU11G-May19-003,NEG
RB-SU11G-May19-004,NEG
RB-SU12H-May19-102,pos
RB-SU12H-May19-112,pos
RB-SU12H-May19-113,pos
RB-SU12H-May19-122,pos
RB-SU12H-May19-141,pos
RB-SU12H-May19-142,pos
RB-SU8H-MAY19-001,NEG
RB-SU8H-MAY19-002,NEG
RB-SU8H-MAY19-003,NEG
RB-SU8H-MAY19-004,NEG
RB-SU8H-MAY19-005,NEG
RB-SU8H-MAY19-006,NEG
RB-SU8H-MAY19-007,pos
RB-SU8H-MAY19-008,pos
RB-SU8H-MAY19-009,NEG
RB-SU8H-MAY19-adult01,NEG
RB-SU8H-MAY19-adult02,NEG
RB-SU8H-MAY19-adult03,pos
RB-SU8H-MAY19-adult04,NEG
RB-SU8H-MAY19-adult05,NEG
RB-SU8H-MAY19-adult06,NEG
RB-SU8H-MAY19-adult07,NEG
RB-SU8H-MAY19-adult08,pos
RB-SU8H-MAY19-adult09,NEG
RB-SU8H-MAY19-010,NEG
RB-SU8H-MAY19-011,NEG
RB-SU8H-MAY19-012,NEG
RB-SU8H-MAY19-013,NEG
RB-SU8H-MAY19-014,NEG
RB-SU8H-MAY19-015,NEG
RB-SU8H-MAY19-016,NEG
RB-SU8H-MAY19-017,NEG
RB-SU8H-MAY19-018,NEG
RB-SU8H-MAY19-019,NEG
RB-SU8H-MAY19-020,NEG
RB-SU8H-MAY19-021,pos
RB-SU8H-MAY19-022,pos
RB-SU8H-MAY19-023,NEG
RB-SU8H-MAY19-024,NEG
RB-SU8H-MAY19-025,NEG
RB-SU8H-MAY19-026,NEG
RB-SU8H-MAY19-027,NEG
RB-SU8H-MAY19-028,NEG
RB-SU8H-MAY19-029,pos
RB-SU8H-MAY19-030,NEG
RB-SU8H-MAY19-031,NEG
RB-SU8H-MAY19-032,NEG
RB-SU8H-MAY19-033,NEG
RB-SU8H-MAY19-034,NEG
RB-SU8H-MAY19-035,NEG
RB-SU8H-MAY19-036,NEG
RB-SU8H-MAY19-037,NEG
RB-SU8H-MAY19-038,NEG
RB-SU8H-MAY19-039,NEG
RB-SU8H-MAY19-040,NEG
RB-SU8H-MAY19-043,pos
RB-SU8H-MAY19-064,pos
RB-SU8H-MAY19-074,NEG
RB-SU8H-MAY19-075,NEG
RB-SU8H-MAY19-076,pos
RB-SU8H-MAY19-077,NEG
RB-SU8H-MAY19-078,NEG
RB-SU8H-MAY19-079,NEG
RB-SU8H-MAY19-080,NEG
RB-SU8H-MAY19-081,NEG
RB-SU8H-MAY19-082,NEG
RB-SU8H-MAY19-083,NEG
RB-SU8H-MAY19-084,NEG
RB-SU8H-MAY19-085,NEG
RB-SU8H-MAY19-086,NEG
RB-SU8H-MAY19-103,pos
RB-SU8H-MAY19-120,pos
RB-SU8H-MAY19-129,pos
RB-SU8H-MAY19-134,pos
RB-SU8H-MAY19-148,pos
RB-SU8H-MAY19-157,pos
RB-SU8H-MAY19-159,pos
RB-SU8H-MAY19-160,pos
RB-SU8H-MAY19-163,pos
RB-SU8H-MAY19-164,pos
RB-SU8H-MAY19-167,pos
RB-SU8H-MAY19-171,pos
RB-SU8H-MAY19-178,pos
RB-SU8H-MAY19-190,pos
RB-SU8H-MAY19-192,pos
RB-NU3B-79,neg
RB-NU3G-105,pos
RB-NU3G-110,pos
RB-SU13H-76,pos
RB-SU13H-77,pos
RB-SU13H-79,pos
RB-SU13H-81,pos
RB-SU8H-1,neg
RB-SU8H-2,neg
RB-SU8H-3,neg
RB-SU8H-4,neg
RB-SU8H-5,neg
RB-SU8H-6,neg
RB-SU8H-7,neg
RB-SU8H-8,pos
RB-SU8H-9,neg
RB-SU8H-10,neg
RB-SU8H-11,neg
RB-SU8H-12,neg
RB-SU8H-13,neg
RB-SU8H-14,neg
RB-SU8H-15,neg
RB-SU8H-16,neg
RB-SU8H-17,neg
RB-SU8H-18,neg
RB-SU8H-19,neg
RB-SU8H-20,neg
RB-SU8H-21,pos
RB-SU8H-22,pos
RB-SU8H-23,neg
RB-SU8H-24,neg
RB-SU8H-25,neg
RB-SU8H-26,neg
RB-SU8H-27,neg
RB-SU8H-28,neg
RB-SU8H-29,pos
RB-SU8H-30,neg
RB-SU8H-31,neg
RB-SU8H-32,neg
RB-N2,pos
RB-N6,pos
RB-K41,pos
RB-K42,pos
RB-M23,pos
